LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE, CURRENT_BALANCE ,FICO_SCORE,LTV, ORIG_VALUE , AVM_VALUE ,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,
26513666,1/11/2013,1/16/2013,,,,,EOFYXV,Primary Capital Advisors LC,433284031,NC,No,No,12/7/2012," $115,200.00 ",666,90," $130,000.00 ",,,,P,B,Mortgage Banker - (Large),,,,WFMBS 2006-AR4,6/1/2013,
30239657,3/15/2012,3/19/2012,,3/27/2012,,4/11/2012,BEBQBM,Kinecta Federal Credit Union,6000195955,IL,No,No,1/18/2012," $326,000.00 ",667,89.31999969," $365,000.00 ",,,,R,B,Credit Unions,Allie Martin,4/4/2012,4,WFMBS 2006-5,6/1/2013,
33368396,10/12/2011,10/14/2011,,10/31/2011,,11/17/2011,UVTNGY,Residential Mortgage LLC,1160017396,AK,No,No,8/26/2011," $171,000.00 ",667,95," $180,000.00 ",,,,P,B,Mortgage Banker - (Large),Allie Martin,11/16/2011,4,SEMT 2012-1,6/1/2013,
23075425,10/8/2012,10/10/2012,,11/1/2012,,12/7/2012,SMJISQ,Cendera Funding Inc,7116551909,TX,No,No,7/16/2012," $393,840.00 ",668,83.80000305," $470,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Mike Willams,12/7/2012,4,WFMBS 2006-AR4,6/1/2013,
19607742,1/11/2013,2/4/2013,,,,,BJOULP,Envoy Mortgage Ltd,1431004777,TX,No,No,11/16/2012," $270,000.00 ",668,90," $300,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-5,6/1/2013,
30861864,10/8/2012,10/10/2012,,10/17/2012,,11/1/2012,EQYSEW,"Wells Fargo Bank, N.A.",406333567,NC,No,No,7/20/2012," $313,500.00 ",668,95," $346,000.00 ",,N/A,,P,B,Bank Owned Mortgage Company - National,Steve Winston,10/25/2012,4,WFMBS 2006-5,6/1/2013,
29013152,11/5/2012,11/7/2012,,11/19/2012,,1/10/2013,RMMHHP,Central Mortgage Company,1021637,CA,No,Yes,3/8/2012," $217,800.00 ",669,90," $242,000.00 "," $258,000.00 ",,,P,B,Mortgage Banker - (Large),Mike Willams,1/9/2013,4,WFMBS 2006-5,6/1/2013,
23511344,6/18/2012,6/20/2012,,7/20/2012,8/24/2012,8/16/2012,PSXRMX,Wintrust Mortgage,5779164681,IL,No,Yes,1/20/2012," $112,000.00 ",671,93.33000183," $127,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,7/27/2012,4,SEMT 2012-1,6/1/2013,
17728290,9/5/2012,9/7/2012,,9/24/2012,,10/18/2012,PTMHJU,"Wells Fargo Bank, N.A.",380382325,CA,No,No,9/15/2011," $309,000.00 ",672,88.29000092," $350,000.00 "," $321,612.00 ",,,R,B,Bank Owned Mortgage Company - National,Mike Willams,10/8/2012,4,WFMBS 2006-AR4,6/1/2013,
19559358,11/3/2011,11/8/2011,,11/16/2011,,1/17/2012,EPKKQQ,Allied Home Mortgage Corp,378755227,LA,No,No,7/22/2011," $306,000.00 ",672,90," $341,500.00 "," $311,081.00 ",,,P,B,Mortgage Banker - (Large),Mike Willams,12/19/2011,4,SEMT 2012-5,6/1/2013,
25434611,7/3/2012,7/9/2012,7/24/2012,,,8/23/2012,ERWVHO,"Wells Fargo Bank, N.A.",381487057,ID,No,No,8/31/2011," $121,500.00 ",673,90," $135,000.00 "," $128,892.00 ",,,P,G,Bank Owned Mortgage Company - National,Mike Willams,8/13/2012,4,SEMT 2012-1,6/1/2013,
29148626,7/11/2012,7/12/2012,,7/30/2012,,10/1/2012,IUYIFI,First Interstate Bank,780023850,WY,No,No,6/15/2012," $164,000.00 ",673,92.12999725," $178,000.00 "," $176,974.00 ",,,R,B,Community Banks,Allie Martin,9/10/2012,4,WFMBS 2006-5,6/1/2013,
32778521,3/15/2012,3/19/2012,,4/9/2012,,5/8/2012,BWUKCO,Centrue Bank,KM11466,IL,No,No,1/27/2012," $65,715.00 ",674,87.62000275," $75,000.00 ",,,,R,B,Community Banks,Mike Willams,5/7/2012,4,WFMBS 2006-5,6/1/2013,
21497871,3/15/2012,3/19/2012,,3/27/2012,,4/12/2012,CTGLWO,Magnolia State Bank,5178461,MS,Yes,No,2/1/2012," $225,000.00 ",674,90," $250,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,4/2/2012,4,SEMT 2012-1,6/1/2013,
21227226,1/11/2013,1/16/2013,,,,,KOINAC,Bexil American Mortgage Inc,2200221477,WA,No,No,11/2/2012," $228,510.00 ",675,90," $258,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-5,6/1/2013,
29259155,6/27/2012,6/27/2012,,7/5/2012,7/30/2012,7/23/2012,TNUKHC,SEFCU Services LLC,488331900,NY,No,No,3/14/2012," $185,915.00 ",675,95," $196,000.00 ",,N/A,,P,B,Credit Unions,Steve Winston,7/11/2012,4,SEMT 2012-1,6/1/2013,
22645536,3/15/2012,3/19/2012,,5/21/2012,,6/22/2012,QVVZXM,Bank of Springfield,4000031437,IL,No,No,12/20/2011," $76,500.00 ",676,90," $85,000.00 ",,N/A,,R,B,Community Banks,Steve Winston,6/13/2012,4,WFMBS 2006-AR4,6/1/2013,
16532584,10/8/2012,10/10/2012,,10/17/2012,,11/1/2012,EWOQGL,"Wells Fargo Bank, N.A.",290647213,AL,No,No,7/13/2012," $391,500.00 ",676,90," $435,000.00 ",,N/A,,P,B,Bank Owned Mortgage Company - National,Steve Winston,10/24/2012,4,WFMBS 2006-5,6/1/2013,
22546470,1/11/2013,1/16/2013,,,,,CPGBYA,Wholesale Capital Corporation,8017055,CA,No,No,10/3/2012," $173,375.00 ",678,95," $183,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-5,6/1/2013,
24557130,7/11/2012,7/12/2012,,7/25/2012,,8/30/2012,WGEEQM,InterLinc Mortgage Inc,414986448,TX,No,No,6/13/2012," $342,000.00 ",678,95," $360,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,8/24/2012,4,SEMT 2012-1,6/1/2013,
27401614,12/20/2011,1/24/2012,,2/14/2012,,3/22/2012,KBPJKS,Texas Trust Credit Union,34121241,TX,No,No,10/24/2011," $105,100.00 ",679,93.83999634," $112,000.00 ",,,,R,B,Credit Unions,Allie Martin,3/14/2012,4,WFMBS 2006-AR4,6/1/2013,
31348707,10/4/2012,10/8/2012,,10/17/2012,,10/29/2012,PLXDVL,Trustmark National Bank,4084568,MS,No,No,1/31/2012," $235,000.00 ",679,94," $268,500.00 "," $237,859.00 ",,,P,B,Community Banks,Mike Willams,10/24/2012,4,WFMBS 2006-5,6/1/2013,
15810620,3/19/2010,3/11/2010,,,,7/27/2010,FXXHMC,Quicken Loans Inc,3221730685,OH,No,No,12/31/2009," $192,400.00 ",680,84.38999939,,,,,R,B,Community Banks,Mike Willams,3/25/2010,4,WFMBS 2006-5,6/1/2013,
19832534,7/3/2012,7/16/2012,,7/30/2012,,8/15/2012,TFUQOA,PennyMac Loan Services LLC,8000012389,NV,No,No,1/27/2012," $70,300.00 ",680,95," $74,000.00 "," $70,000.00 ",,,P,B,Mortgage Banker - Bank Owned,Mike Willams,8/14/2012,4,SEMT 2012-1,6/1/2013,
18855662,11/22/2010,,,,,11/29/2010,KIOMAH,Quicken Loans Inc,5772432196,MD,No,No,4/12/2010," $242,725.00 ",681,95," $257,000.00 ",,N/A,,R,B,Community Banks,Mike Willams,11/29/2010,4,WFMBS 2006-AR4,6/1/2013,
29214085,1/30/2013,,,2/4/2013,,,PPYCTE,US Bank NA,6800642952,CO,No,No,12/5/2012," $301,000.00 ",682,87.25," $346,000.00 ",,,,P,B,Bank Owned Mortgage Company - National,,,,WFMBS 2006-5,6/1/2013,
16188103,1/3/2013,1/4/2013,,1/10/2013,,1/10/2013,TVTDFR,Umpqua Bank,8501152459,WA,No,No,7/27/2012," $130,410.00 ",682,90," $150,000.00 "," $127,500.00 ",,,P,B,Community Banks,Mike Willams,1/10/2013,4,WFMBS 2006-5,6/1/2013,
26645569,12/4/2012,12/7/2012,,12/18/2012,,,TIEIJY,Capital Mortgage Services,4000005081,GA,No,No,3/8/2012," $120,650.00 ",682,95," $210,000.00 "," $251,058.00 ",,,P,B,Mortgage Banker - Bank Owned,Mike Willams,1/17/2013,1,WFMBS 2006-5,6/1/2013,
25493594,10/4/2012,10/8/2012,,10/18/2012,,10/26/2012,OGVDLP,Central Mortgage Company,1180010908,FL,No,No,11/28/2011," $128,250.00 ",682,95," $135,000.00 "," $131,000.00 ",,,P,B,Mortgage Banker - (Large),Mike Willams,10/25/2012,4,SEMT 2012-5,6/1/2013,
20021394,12/10/2012,10/10/2012,11/20/2012,11/28/2012,,1/29/2013,SUFJYU,Alliance Financial Resources LLC,415231422,AZ,Yes,No,6/18/2012," $164,350.00 ",682,95," $173,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,1/15/2013,4,SEMT 2012-1,6/1/2013,
18584479,12/20/2011,12/29/2011,,1/19/2012,,2/29/2012,WJVZUH,SWBC Mortgage Corporation,36422160,TX,No,No,10/7/2011," $186,695.00 ",682,95," $198,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,2/16/2012,4,SEMT 2012-1,6/1/2013,
26173677,6/3/2011,,,,,6/14/2011,LZGBRP,Guaranteed Rate Inc,411846439,OK,No,No,1/14/2011," $355,036.00 ",682,95," $375,000.00 ",,,,P,B,Mortgage Banker - (Large),Mike Willams,6/14/2011,4,SEMT 2012-5,6/1/2013,
24581948,1/11/2013,1/16/2013,,1/28/2013,,,UWXSTO,Bankers Mortgage Lending Inc,1122100189,FL,No,No,11/7/2012," $267,500.00 ",683,84.91999817," $315,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-1,6/1/2013,
18448764,7/12/2011,7/14/2011,8/5/2011,8/8/2011,9/12/2011,8/25/2011,WYAIXA,Sun Home Loans,230153486,PA,No,No,3/11/2011," $174,250.00 ",683,85," $205,000.00 ",,,,R,B,Community Banks,Mike Willams,8/24/2011,4,WFMBS 2006-5,6/1/2013,
32742979,12/4/2012,12/5/2012,12/20/2012,12/27/2012,,1/3/2013,NCZYRE,BB&T Corp,6996589941,CO,No,Yes,8/6/2012," $369,000.00 ",683,90," $414,000.00 "," $420,454.00 ",,,P,B,Mortgage Banker - Bank Owned,Mike Willams,12/28/2012,4,SEMT 2012-5,6/1/2013,
17057384,11/23/2010,1/11/2011,,,,5/4/2011,DEXCDE,United Community Mortgage Services Inc,6800345323,GA,No,No,8/25/2010," $275,500.00 ",683,95," $290,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,3/24/2011,4,SEMT 2012-1,6/1/2013,
30542329,6/1/2010,9/20/2010,,,,12/2/2010,QJUSLQ,NTFN Inc,1006428502,TX,No,No,2/23/2010," $345,562.00 ",683,95," $370,000.00 ",,N/A,,P,B,Mortgage Banker - (Large),Mike Willams,12/2/2010,4,WFMBS 2006-AR4,6/1/2013,
16343290,4/3/2012,4/11/2012,,4/18/2012,,6/4/2012,WBRFHQ,American Home Mortgage Corp,2000048898,CA,No,No,12/2/2011," $380,000.00 ",683,95," $400,000.00 "," $389,754.00 ",,,P,B,Mortgage Banker - (Large),Mike Willams,4/30/2012,4,SEMT 2012-1,6/1/2013,
15966880,7/11/2012,7/12/2012,,7/27/2012,,9/18/2012,GYRVKF,Allied Mortgage Group Inc,414552943,NJ,No,No,5/21/2012," $417,000.00 ",684,88.91000366," $471,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,8/29/2012,4,WFMBS 2006-5,6/1/2013,
18882475,8/22/2011,8/22/2011,9/7/2011,9/23/2011,,9/29/2011,EUQFRN,JPMorgan Chase Bank NA,1156876008,GA,Yes,No,11/13/2007," $324,000.00 ",684,90," $360,000.00 ",,,,R,B,Bank Owned Mortgage Company - National,Mike Willams,9/23/2011,5,WFMBS 2006-AR4,6/1/2013,
32509554,6/1/2010,9/22/2010,,,,12/7/2010,SVBYWH,Consumer Loan Services Inc,20193,WI,No,No,2/1/2010," $35,000.00 ",684,94.58999634," $37,000.00 "," $100,000.00 ",N/A,,P,B,Credit Unions,Steve Winston,12/7/2010,4,SEMT 2012-5,6/1/2013,
14924510,4/19/2011,4/28/2011,,5/17/2011,,6/2/2011,UXRNFQ,Merrimack Valley Federal Credit Union,24855,MA,No,Yes,2/8/2011," $110,000.00 ",684,94.83000183," $116,000.00 "," $112,000.00 ",,,R,B,Credit Unions,Allie Martin,5/31/2011,4,WFMBS 2006-AR4,6/1/2013,
26381848,11/23/2010,1/5/2011,,,,4/14/2011,KNUAKC,Allegiance Credit Union,382955,OK,No,No,7/29/2010," $91,600.00 ",685,85.61000061," $107,000.00 ",,,,R,B,Credit Unions,Allie Martin,3/24/2011,4,WFMBS 2006-AR4,6/1/2013,
23732899,3/15/2012,3/19/2012,,4/4/2012,,5/22/2012,GEGMDE,Amarillo National Bank,8006046657,TX,No,No,12/14/2011," $160,950.00 ",685,88.91999817," $181,000.00 ",,,,R,B,Community Banks,Allie Martin,5/14/2012,4,SEMT 2012-1,6/1/2013,
17484910,10/8/2012,10/11/2012,,11/5/2012,,1/2/2013,PGJOMG,Mortgage Express LLC,429155468,WA,No,Yes,8/1/2012," $132,300.00 ",685,90," $147,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Eric Miller,1/2/2013,4,WFMBS 2006-AR4,6/1/2013,
21148547,3/19/2010,3/12/2010,,,,7/28/2010,NDWCBJ,TBI Mortgage Company,207767829,MD,No,No,12/1/2009," $417,000.00 ",685,94.40000153," $441,741.00 ",,,,P,B,Mortgage Banker - (Large),Mike Willams,3/26/2010,4,WFMBS 2006-5,6/1/2013,
23524767,3/5/2012,3/6/2012,,3/19/2012,,3/20/2012,UKMNMA,PHH Mortgage Corporation,7114857548,NJ,No,No,8/11/2011," $274,550.00 ",685,95," $290,000.00 "," $287,466.00 ",,,P,B,Mortgage Banker - (Large),Mike Willams,3/20/2012,4,WFMBS 2006-5,6/1/2013,
31759620,7/11/2012,7/12/2012,,8/2/2012,,9/20/2012,QEIPLH,Potlatch #1 Federal Credit Union,1041790000,ID,No,No,4/13/2012," $145,500.00 ",685,97," $150,000.00 ",,N/A,,P,B,Credit Unions,Steve Winston,9/14/2012,4,WFMBS 2006-5,6/1/2013,
27068884,9/21/2011,9/28/2011,,10/28/2011,,11/28/2011,JVHJSX,Chicago Mortgage Solutions Corporation,1122596052,IL,No,No,6/8/2011," $186,000.00 ",686,86.11000061," $216,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Mike Willams,11/18/2011,4,SEMT 2012-5,6/1/2013,
31265018,10/1/2012,10/2/2012,,10/10/2012,,10/17/2012,DSFBSF,AgFirst Farm Credit Bank,200017798,NC,Yes,No,8/1/2012," $157,700.00 ",686,89.59999847," $176,000.00 ",,,,C,B,Credit Unions,Mike Willams,10/15/2012,4,WFMBS 2006-5,6/1/2013,
25678785,7/3/2012,7/9/2012,,7/18/2012,,7/19/2012,ALVWFG,Colonial Savings FA,17222,CA,No,No,12/15/2011," $65,700.00 ",686,90," $73,000.00 "," $75,000.00 ",,,P,B,Community Banks,Mike Willams,7/18/2012,4,SEMT 2012-5,6/1/2013,
23046621,3/18/2011,3/29/2011,,,,5/19/2011,IWZQTJ,JPMorgan Chase Bank NA,1432318327,LA,No,No,2/9/2011," $209,500.00 ",686,91," $231,000.00 "," $217,898.00 ",,,R,B,Bank Owned Mortgage Company - National,,,5,SEMT 2012-1,6/1/2013,
31683938,10/8/2012,10/10/2012,10/25/2012,11/8/2012,,12/26/2012,EQCOOI,International City Mortgage Inc,428812762,CA,No,No,7/30/2012," $170,000.00 ",687,82.93000031," $205,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Mike Willams,12/26/2012,4,SEMT 2012-5,6/1/2013,
16130738,6/1/2010,9/7/2010,,,,2/23/2011,BYIYFG,SAC Federal Credit Union,1-244294,NE,No,No,9/23/2009," $81,000.00 ",687,90," $90,000.00 ",,,,P,B,Credit Unions,Mike Willams,11/8/2010,4,WFMBS 2006-5,6/1/2013,
21462822,1/11/2013,2/4/2013,,,,,QZNCOL,Envoy Mortgage Ltd,1429325630,WA,No,No,11/6/2012," $144,000.00 ",687,94.73999786," $152,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-5,6/1/2013,
17844269,10/4/2012,10/8/2012,10/23/2012,12/5/2012,,12/10/2012,WMJVLY,PennyMac Loan Services LLC,8000037709,MN,No,No,6/15/2012," $408,500.00 ",687,95," $435,000.00 "," $483,000.00 ",,,P,B,Mortgage Banker - Bank Owned,Mike Willams,12/6/2012,4,WFMBS 2006-5,6/1/2013,
